,WS_18027,WS_18425,WS_18023,WS_18809,WS_18811,WS_18024,WS_17233,WS_18808,WS_17234,WS_17227,WS_18426,WS_18026,WS_18025,WS_19124,WS_18427,WS_18428,WS_17232,WS_17381,WS_19125,WS_18429,WS_18596,WS_17860,WS_17881,WS_18810,WS_17850,WS_18430,WS_18047,WS_18610,WS_18013,WS_17895,WS_17310,WS_17477,WS_18837,WS_18838,WS_19154,WS_17970,WS_19151,WS_18008,WS_18307,WS_18016,WS_17952,WS_18305,WS_18618,WS_17375,WS_17474,WS_18996,WS_17975,WS_17974,WS_19153,WS_18012,WS_18611,WS_17927,WS_18619,WS_17380,WS_17473,WS_18009,WS_18010,WS_18614,WS_18648,WS_18613,WS_17475,WS_17953,WS_19152,WS_18955,WS_17304,WS_17476,WS_17926,WS_19150,WS_18015,WS_18609,WS_18617,WS_18615,WS_18840,WS_17951,WS_19156,WS_18612,WS_17954,WS_18839,WS_18011,WS_17917,WS_17302,WS_17300,WS_17393,WS_18306,WS_17915,WS_18014,WS_17626,WS_17465,WS_19063,WS_19060,WS_18233,WS_18231,WS_17463,WS_18573,WS_19246,WS_19064,WS_19062,WS_17569,WS_18570,WS_18229,WS_18978,WS_18232,WS_18571,WS_17714,WS_18572,WS_17775,WS_19366,WS_17037,WS_17038,WS_17464,WS_18574,WS_19247,WS_18936,WS_18230,WS_18575,WS_19061
WS_18027,0,42.30116,22.4829,33.14146,17.98632,15.15514,84.76886,71.77874,40.71903,36.72207,58.53881,53.54261,21.31712,37.72131,44.04983,27.72891,82.18749,85.26848,82.52057,24.23157,42.71751,23.48214,71.44566,57.53957,24.89773,19.65172,267.13016,261.80088,269.87807,204.59439,294.19291,291.86135,313.34501,267.62978,286.61534,181.02898,169.62099,168.78829,181.5286,183.27727,146.72174,159.96167,139.31071,186.10845,187.02442,184.69286,325.75224,327.00129,329.99901,287.69785,308.51535,251.22559,239.48452,168.03886,168.87156,142.55824,164.12517,156.88068,140.80957,144.8898,195.10161,195.60123,184.52632,187.85712,187.85712,188.52328,150.7187,149.96927,170.78677,142.64151,137.47877,133.89816,168.95483,191.02138,205.09401,175.11681,248.06133,262.80012,220.41569,231.24079,191.18792,198.68222,220.6655,220.08261,218.83356,202.59591,880.9966,912.55593,895.06923,903.14642,905.47798,857.26465,873.33576,873.08595,921.04947,928.21069,924.13046,932.12438,924.13046,868.42283,863.59317,931.37495,913.88825,878.66504,878.99812,932.79054,888.40763,893.98672,895.1525,893.23729,922.79814,852.18518,851.51902,853.60077,867.6734,892.48786
WS_18425,42.30116,0,63.11866,68.53121,60.03767,54.62512,124.40538,111.5818,68.94756,66.11638,87.68331,81.43806,25.73043,77.27456,76.35859,54.04223,111.16545,114.74606,115.66203,22.56617,11.49126,30.47682,105.00347,95.01107,45.21561,43.96656,245.14688,237.3195,250.14308,188.27347,277.45564,275.12408,297.35717,250.97578,269.29518,185.60883,172.78525,150.55216,164.12517,168.95483,144.47345,159.29551,143.2244,187.52404,188.44001,185.35902,310.26402,311.84615,312.92866,267.87959,288.03093,229.24231,215.75257,177.94799,179.11377,156.21452,171.61947,161.29399,149.63619,153.79969,186.85788,187.69058,177.19856,174.11757,175.36662,176.11605,138.06166,141.559,157.46357,124.23884,132.31603,124.32211,159.21224,189.68906,203.42861,170.7035,230.82444,243.56475,199.26511,213.67082,177.3651,183.52708,207.09249,202.17956,202.76245,183.27727,841.11027,873.00268,856.0156,863.84298,865.92473,817.29505,833.36616,833.11635,881.8293,889.40687,885.24337,893.23729,884.91029,828.78631,823.95665,891.98824,874.66808,839.44487,839.44487,893.23729,848.68784,854.3502,855.51598,853.5175,883.32816,812.29885,811.79923,814.04752,827.78707,853.01788
WS_18023,22.4829,63.11866,0,14.90533,13.98936,8.57681,62.28596,49.29584,27.56237,23.89849,41.21865,37.80458,43.80002,15.23841,26.31332,22.98252,63.36847,66.11638,61.70307,41.96808,61.03691,37.05515,50.71143,35.38975,27.97872,24.48138,287.36477,282.61838,289.52979,223.66322,312.92866,310.5971,331.74768,286.4488,305.51763,192.77005,182.11149,188.68982,201.09705,201.92975,161.87688,174.28411,152.13429,199.09857,199.93127,198.09933,343.9051,345.15415,348.65149,307.2663,328.33361,271.54347,260.30202,177.44837,178.11453,150.7187,174.867,169.12137,151.46813,155.38182,211.75561,212.00542,200.93051,206.25979,205.84344,206.5096,169.28791,167.28943,189.27271,162.70958,153.88296,151.88448,186.35826,205.09401,219.08337,190.60503,267.04689,282.2853,240.6503,250.47616,209.67386,217.3347,238.73509,239.40125,237.73585,222.41417,903.22969,934.87229,917.46886,925.54605,927.79434,879.49774,895.56885,895.31904,943.4491,950.69359,946.53009,954.52401,946.53009,890.73919,885.82626,953.69131,936.28788,901.06467,901.31448,955.1069,910.72399,916.30308,917.46886,915.55365,945.1145,874.41827,873.83538,875.91713,889.90649,914.80422
WS_18809,33.14146,68.53121,14.90533,0,28.89469,18.3194,56.37379,43.96656,13.65628,10.8251,26.47986,22.89925,53.54261,12.90685,11.49126,17.15362,49.37911,52.37683,49.46238,46.04831,63.95136,39.05363,38.38747,26.47986,25.64716,24.89773,300.18835,294.94234,302.68645,237.15296,326.58494,324.25338,345.5705,300.02181,319.09064,207.75865,197.01682,201.67994,214.33698,215.6693,176.5324,189.0229,167.03962,214.0039,214.8366,212.92139,357.81119,359.06024,362.39104,320.50623,341.407,284.28378,272.62598,192.27043,193.01986,165.54076,189.77233,184.0267,166.37346,170.37042,226.07805,226.41113,215.33622,219.99934,219.8328,220.41569,183.02746,181.44533,203.01226,175.61643,168.2054,165.79057,200.43089,219.91607,233.90543,205.17728,280.6199,295.6085,253.47388,263.88263,223.41341,230.99098,252.72445,252.72445,251.30886,235.48756,909.64148,941.53389,924.54681,932.37419,934.37267,885.74299,901.8141,901.64756,950.36051,957.85481,953.69131,961.68523,953.4415,897.31752,892.40459,960.51945,943.11602,907.89281,907.97608,961.7685,917.21905,922.79814,923.96392,922.04871,951.85937,880.83006,880.33044,882.57873,896.31828,921.54909
WS_18811,17.98632,60.03767,13.98936,28.89469,0,14.73879,70.94604,58.12246,40.96884,37.22169,55.12474,51.79394,36.97188,26.89621,40.30268,33.47454,77.02475,79.60612,74.44338,41.88481,60.62056,39.63652,63.61828,47.13082,35.38975,30.64336,275.12408,270.87731,276.87275,210.75637,299.85527,297.52371,318.59102,273.37541,292.52751,178.86396,168.12213,176.28259,188.52328,188.93963,148.05406,160.37802,138.2282,185.10921,186.02518,184.10997,330.66517,331.83095,335.5781,294.60926,315.75984,259.30278,248.39441,163.62555,164.37498,137.06242,160.96091,155.13201,137.56204,141.47573,198.09933,198.34914,187.27423,193.10313,192.60351,193.26967,156.29779,153.88296,176.19932,150.55216,140.22668,138.64455,172.95179,191.18792,205.09401,176.78221,254.14004,269.62826,228.40961,237.73585,196.5172,204.34458,225.49516,226.66094,224.74573,210.00694,896.56809,927.96088,910.30764,918.4681,920.88293,872.91941,889.07379,888.82398,936.28788,943.19929,939.20233,947.19625,939.45214,883.91105,879.08139,946.69663,929.12666,893.98672,894.48634,948.19549,903.97912,909.55821,910.72399,908.80878,938.20309,867.75667,867.09051,869.00572,883.24489,907.80954
WS_18024,15.15514,54.62512,8.57681,18.3194,14.73879,0,70.36315,57.37303,27.89545,23.89849,44.38291,39.9696,36.22245,23.06579,29.56085,18.73575,67.69851,70.61296,67.4487,33.47454,52.4601,28.81142,56.37379,42.4677,21.31712,17.07035,281.86895,276.78948,284.36705,218.91683,308.34881,306.10052,327.41764,281.86895,300.85451,191.521,180.52936,183.44381,196.01758,197.43317,159.0457,171.86928,150.38562,197.3499,198.1826,196.10085,339.65833,340.90738,344.15491,302.2701,323.17087,265.96438,254.47312,177.19856,177.94799,150.88524,174.0343,167.62251,150.63543,154.63239,208.25827,208.67462,197.51644,201.84648,201.67994,202.3461,164.79133,163.45901,184.77613,157.29703,150.46889,147.63771,182.44457,202.84572,216.83508,187.60731,262.3005,277.2891,235.23775,245.6465,205.26055,212.83812,234.57159,234.48832,233.07273,217.25143,895.06923,926.71183,909.39167,917.38559,919.63388,871.25401,887.32512,887.07531,935.28864,942.6164,938.53617,946.53009,938.4529,882.57873,877.6658,945.61412,928.12742,892.90421,893.15402,946.94644,902.48026,908.14262,909.3084,907.30992,937.03731,866.25781,865.59165,867.75667,881.74603,906.64376
WS_17233,84.76886,124.40538,62.28596,56.37379,70.94604,70.36315,0,12.99012,61.28672,62.20269,49.62892,54.70839,106.00271,47.29736,51.87721,72.94452,45.38215,44.21637,31.55933,102.17229,120.32515,95.42742,32.30876,30.39355,81.85441,81.27152,343.48875,340.24122,344.07164,277.37237,365.05568,362.72412,383.042,338.9089,358.061,230.90771,222.41417,244.56399,256.13852,255.13928,208.67462,218.75029,194.60199,239.8176,240.6503,239.65106,394.61653,395.5325,400.44543,361.64161,382.95873,327.75072,317.67505,211.00618,211.25599,183.11073,211.42253,209.42405,189.10617,192.60351,260.13548,260.13548,249.14384,258.80316,257.55411,258.22027,222.83052,218.1674,242.23243,219.58299,203.42861,204.51112,237.06969,248.06133,261.4678,237.06969,320.33969,336.66061,296.94082,304.35185,262.13396,270.46096,290.19595,293.69329,290.86211,278.03853,965.34911,996.99171,979.75482,987.74874,989.91376,941.53389,957.605,957.35519,1005.65179,1012.89628,1008.81605,1016.80997,1008.73278,952.85861,948.02895,1015.894,998.49057,963.26736,963.51717,1017.22632,972.84341,978.4225,979.58828,977.67307,1007.31719,936.53769,935.9548,938.03655,952.02591,977.00691
WS_18808,71.77874,111.5818,49.29584,43.96656,58.12246,57.37303,12.99012,0,50.12854,50.62816,41.05211,45.29888,93.01259,34.39051,40.63576,60.7871,43.21713,43.05059,31.05971,89.43198,107.75138,82.85365,27.31256,19.06883,69.61372,68.78102,331.4146,327.91726,332.2473,265.6313,353.64769,351.31613,371.80055,327.41764,346.65301,221.74801,212.83812,232.48984,244.14764,243.48148,197.93279,208.42481,184.52632,230.24155,231.07425,229.90847,383.45835,384.54086,389.20398,349.90054,371.13439,315.67657,305.43436,202.51264,202.84572,174.70046,202.42937,199.76473,179.77993,183.44381,249.31038,249.31038,238.31874,247.22863,246.14612,246.72901,211.00618,206.84268,230.57463,207.3423,192.18716,192.85332,225.74497,238.1522,251.64194,226.4944,308.68189,324.91954,284.86667,292.69405,250.6427,258.80316,278.87123,281.86895,279.28758,265.96438,952.44226,984.08486,966.7647,974.75862,977.00691,928.62704,944.69815,944.44834,992.66167,999.90616,995.82593,1003.81985,995.82593,939.95176,935.03883,1002.98715,985.50045,950.27724,950.52705,1004.31947,959.85329,965.51565,966.68143,964.68295,994.41034,923.63084,922.96468,925.1297,939.03579,964.01679
WS_17234,40.71903,68.94756,27.56237,13.65628,40.96884,27.89545,61.28672,50.12854,0,3.99696,18.98556,13.15666,58.78862,25.31408,9.40951,15.15514,42.96732,46.29812,46.79774,46.6312,62.28596,38.47074,36.38899,31.05971,23.73195,25.8137,306.93322,300.93778,310.09748,245.14688,334.7454,332.49711,353.98077,308.18227,327.08456,219.41645,208.42481,209.0077,221.91455,223.91303,186.85788,199.76473,178.28107,225.24535,226.07805,224.07957,366.388,367.72032,370.5515,327.91726,348.65149,290.94538,278.87123,204.59439,205.34382,178.11453,201.76321,195.51796,178.28107,182.3613,235.73737,236.15372,225.07881,228.49288,228.57615,229.15904,191.43773,190.6883,211.42253,182.69438,177.94799,174.61719,209.67386,230.74117,244.73053,215.33622,288.53055,303.01953,260.30202,271.71001,231.90695,239.23471,261.38453,260.46856,259.38605,242.73205,908.4757,940.61792,923.96392,931.62476,933.4567,884.57721,900.56505,900.31524,949.77762,957.605,953.35823,961.35215,952.77534,896.31828,891.48862,959.77002,942.53313,907.22665,907.14338,960.9358,916.13654,921.7989,922.96468,920.9662,951.02667,879.66428,879.3312,881.66276,895.1525,920.71639
WS_17227,36.72207,66.11638,23.89849,10.8251,37.22169,23.89849,62.20269,50.62816,3.99696,0,22.39963,16.90381,55.04147,23.3156,10.65856,11.99088,46.46466,49.79546,49.54565,43.63348,59.87113,35.63956,38.88709,31.80914,20.98404,22.4829,303.18607,297.2739,306.26706,241.23319,330.83171,328.58342,350.06708,304.26858,323.25414,215.41949,204.42785,205.17728,218.08413,219.99934,182.77765,195.76777,174.28411,221.24839,222.16436,220.08261,362.47431,363.72336,366.63781,324.08684,344.82107,287.19823,275.12408,200.76397,201.5134,174.28411,197.84952,191.60427,174.36738,178.36434,231.74041,232.15676,221.08185,224.57919,224.57919,225.24535,187.44077,186.69134,207.50884,178.86396,173.95103,170.7035,205.6769,226.74421,240.73357,211.33926,284.61686,299.18911,256.55487,267.79632,227.90999,235.32102,257.38757,256.55487,255.47236,238.90163,906.22741,938.28636,921.54909,929.20993,931.12514,882.24565,898.31676,898.06695,947.36279,955.1069,950.86013,958.85405,950.36051,893.98672,889.15706,957.43846,940.1183,904.81182,904.81182,958.52097,913.80498,919.46734,920.63312,918.63464,948.69511,877.41599,876.99964,879.3312,892.90421,918.38483
