,type,datetime,tip,mlid,mw_connection_no,site_id,neid,direction,polarization,card_type,adaptive_modulation,freq_band,link_length,severaly_error_second,error_second,unavail_second,avail_time,bbe,rxlevmax,scalibility_score,capacity,modulation,rlf
0,ENK,2019-01-02 00:00:00,NEAR,R0AP,314493,RL_9;SIP,8607,Near End,,cardtype4,Enable,f3,,0,0,0,86400,0,-41.6,0.02461,406,512QAM(QO),FALSE
1,ENK,2019-01-02 00:00:00,FAR,R1AG,227760,RL_I7LB>,,,,cardtype4,Enable,f3,,0,0,0,86400,0,-35.4,,154,128QAM,FALSE
2,ENK,2019-01-02 00:00:00,NEAR,R1BA,345715,RL_I7LB>,,,,cardtype2,Enable,f3,,0,0,0,86400,0,-40.4,,154,128QAM,FALSE
3,ENK,2019-01-02 00:00:00,NEAR,R0TR,265780,RL_I7T?Q,8089,Near End,,cardtype4,Enable,f5,,0,0,0,86400,0,-39.8,0,72,128QAM,FALSE
4,NEC,2019-01-02 00:00:00,NEAR,R1TP,335068,RL_I7Z?H,,,,cardtype5,Enable,f3,,0,0,0,86400,0,-34.7,,407,512QAM,FALSE
5,ENK,2019-01-02 00:00:00,NEAR,K3RE,249553,RL_I8BE>,5045,Near End,,cardtype4,Enable,f4,,0,0,0,86400,0,-39.8,0,406,512QAM(QO),FALSE
6,ENK,2019-01-02 00:00:00,NEAR,R1ZP,281212,RL_I9OI>,8063,Near End,,cardtype4,Enable,f3,,0,0,0,86400,0,-39.5,0,72,128QAM,FALSE
7,ENK,2019-01-02 00:00:00,FAR,K3EF,1344124,RL_I9VK>,9369,Near End,,cardtype1,Enable,f3,,0,0,0,86400,0,-39.8,0,160,128QAM,FALSE
8,NEC,2019-01-02 00:00:00,FAR,K7FD,348012,RL_I:BTL,,,,cardtype5,Enable,f5,,0,0,0,86400,0,-43.2,,407,512QAM,FALSE
9,NEC,2019-01-02 00:00:00,NEAR,K3JC,310580,RL_I:CSI,,,,cardtype5,Enable,f3,,0,0,0,86400,0,-45.4,,407,512QAM,FALSE
10,NEC,2019-01-02 00:00:00,NEAR,K3OS,310580,RL_I:CSI,,,,cardtype5,Enable,f3,,0,0,0,86400,0,-45.4,,407,512QAM,FALSE
11,ENK,2019-01-02 00:00:00,NEAR,K4UL,161117,RL_I:CSI,5243,Near End,,cardtype4,Enable,f5,,0,0,0,86400,0,-87.1,0,327,128QAM,FALSE
12,ENK,2019-01-02 00:00:00,NEAR,K7YL,161117,RL_I:CSI,5243,Near End,,cardtype4,Enable,f5,,0,0,0,86400,0,-88.1,0,327,128QAM,FALSE
13,ENK,2019-01-02 00:00:00,NEAR,K3OG,1367841,RL_I:HSK,,,,cardtype2,Enable,f1,,0,0,0,86400,0,-37.9,,72,128QAM,FALSE
14,NEC,2019-01-02 00:00:00,NEAR,R0BJ,332142,RL_I:UJO,,,,cardtype5,Enable,f5,,0,0,0,86400,0,-30,,181,256QAM(Q),FALSE
