,site_id,groundheight,clutter_class
0,RL_9;SIP,54.9587,OPEN LAND
1,RL_I7LB>,132.0102,DENSE TREE
2,RL_I7T?Q,83.9994,HIGH-ISOLATED-BUILDINGS
3,RL_I7Z?H,91.0254,LOW-SPARSE URBAN
4,RL_I8BE>,790031,AVERAGE-DENSE URBAN
5,RL_I9OI>,158.9431,LOW-DENSE URBAN
6,RL_I9VK>,619847,HIGH-DENSE URBAN
7,RL_I:BTL,39814,OPEN IN URBAN
8,RL_I:CSI,500405,SPARSE TREE
9,RL_I:HSK,249812,BUILTUP-VILLAGE
10,RL_I:UJO,3.9814,OPEN LAND
11,RL_I:VF>,180021,HIGH-DENSE URBAN
12,RL_I;GIR,365975,BUILTUP-VILLAGE
13,RL_I;YNL,56.9884,INDUSTRIAL & COMMERCIAL
14,RL_I<BRF,145.9841,LOW-DENSE URBAN
15,RL_I=VJS,54.9587,LOW-DENSE URBAN
16,RL_I=VXL,49.9625,AVERAGE-DENSE URBAN
17,RL_I>PA>,337.0124,OPEN LAND
18,RL_I>W?H,76.0366,AVERAGE-DENSE URBAN
19,RL_IABBF,18.0333,AVERAGE-DENSE URBAN
20,RL_IABIL,670.0435,OPEN LAND
21,RL_IABQB,1236.9613,SPARSE TREE
22,RL_IAC?J,619847,SPARSE TREE
23,RL_IACI>,1299805,OPEN LAND
24,RL_IACKO,29665,LOW-SPARSE URBAN
25,RL_IAD?F,1043.0444,OPEN LAND
26,RL_IAD@P,122.9545,SPARSE TREE
27,RL_IADAB,864.0383,OPEN LAND
28,RL_IADGK,3.0446,AVERAGE-DENSE URBAN
29,RL_IADGP,4.0595,AVERAGE-DENSE URBAN
30,RL_IADI>,13.9739,LOW-DENSE URBAN
31,RL_IADII,4.9962,DENSE TREE
32,RL_IADIL,510.0074,DENSE TREE
33,RL_IADJJ,71.9772,OPEN LAND
34,RL_IADKB,555.0518,DENSE TREE
35,RL_IADMO,28.0258,OPEN IN URBAN
36,RL_IADRL,253.013,OPEN IN URBAN
37,RL_IADWB,9.9925,LOW-DENSE URBAN
38,RL_IAHS@,687.9987,OPEN LAND
39,RL_IAHSJ,949.9894,SPARSE TREE
40,RL_IAHSW,1231.0282,OPEN LAND
41,RL_IAJN>,569884,OPEN IN URBAN
42,RL_IAJQH,942.9634,BUILTUP-VILLAGE
43,RL_IAL?K,8.0408,AVERAGE-DENSE URBAN
44,RL_IALI>,3.9814,AVERAGE-DENSE URBAN
45,RL_IALM@,790.9682,BUILTUP-VILLAGE
46,RL_IALMV,617.9732,OPEN LAND
47,RL_IALSV,1107.9956,SPARSE TREE
48,RL_IAOPK,43.0146,AVERAGE-DENSE URBAN
49,RL_IAS?J,489476,AVERAGE-MEDIUM URBAN
50,RL_IAS?M,1.0149,AVERAGE-SPARSE URBAN
51,RL_IASMP,49962,LOW-SPARSE URBAN
52,RL_IASQR,1114.9436,DENSE TREE
53,RL_IAT?E,549587,SPARSE TREE
54,RL_IAT?K,80.018,OPEN IN URBAN
55,RL_IATC?,1002.9964,SPARSE TREE
56,RL_IATI>,1559.9998,SPARSE TREE
57,RL_IATSI,1404.9601,SPARSE TREE
58,RL_IATSS,60.9698,LOW-MEDIUM URBAN
59,RL_IAVL>,54.0219,DENSE TREE
60,RL_IAVL@,32.0072,SPARSE TREE
61,RL_IAVLA,38.9551,SPARSE TREE
62,RL_IAVLB,23.0296,SPARSE TREE
63,RL_IAVPP,70.0255,DENSE TREE
64,RL_IAZ?@,1849.0015,OPEN LAND
65,RL_IAZMH,301.9606,OPEN LAND
66,RL_IBBCP,232.0132,OPEN LAND
67,RL_IBBEP,8.0408,AVERAGE-DENSE URBAN
68,RL_IBBIJ,6.0111,LOW-DENSE URBAN
69,RL_IBBJB,19.985,AVERAGE-DENSE URBAN
70,RL_IBBKR,8.9776,AVERAGE-DENSE URBAN
71,RL_IBBMV,112.962,SPARSE TREE
72,RL_IBBP>,205.0022,OPEN LAND
73,RL_IBBQF,2.0297,OPEN IN URBAN
74,RL_IBBQR,7.026,HIGH-DENSE URBAN
75,RL_IBBRB,523.9813,DENSE TREE
76,RL_IBBRF,3.9814,HIGH-DENSE URBAN
77,RL_IBBT/,27.011,AVERAGE-MEDIUM URBAN
78,RL_IBBTP,32.944,SPARSE TREE
79,RL_IBBTV,18.0333,AVERAGE-DENSE URBAN
80,RL_IBBWB,8.9776,AVERAGE-DENSE URBAN
81,RL_IBBXR,71.9772,OPEN IN URBAN
82,RL_IBC@E,29.0407,AVERAGE-DENSE URBAN
83,RL_IBCCA,216.0096,LOW-MEDIUM URBAN
84,RL_IBCIE,24.9812,AVERAGE-DENSE URBAN
85,RL_IBD?K,4.9962,HIGH-DENSE URBAN
86,RL_IBDCS,49.9625,OPEN IN URBAN
87,RL_IBDGH,208.0468,DENSE TREE
88,RL_IBDJ>,2.0297,AVERAGE-DENSE URBAN
89,RL_IBDKH,282.9905,OPEN LAND
90,RL_IBDMV,1527.9926,SPARSE TREE
91,RL_IBDSP,107.9658,SPARSE TREE
92,RL_IBEGJ,319.994,DENSE TREE
93,RL_IBEJU,9.9925,LOW-DENSE URBAN
94,RL_IBEKE,16.0036,AVERAGE-DENSE URBAN
95,RL_IBEME,6.0111,AVERAGE-DENSE URBAN
96,RL_IBEQE,13.0371,LOW-MEDIUM URBAN
97,RL_IBFJF,260.039,GREEN HOUSE
98,RL_IBFKF,179.0061,GREEN HOUSE
99,RL_IBHGO,8.9776,AVERAGE-DENSE URBAN
100,RL_IBHMI,190.9503,HIGH-ISOLATED-BUILDINGS
101,RL_IBHSI,11.0074,AVERAGE-DENSE URBAN
102,RL_IBHSO,24.9812,HIGH-ISOLATED-BUILDINGS
103,RL_IBIAQ,19.985,AVERAGE-DENSE URBAN
104,RL_IBIQQ,13.0371,AVERAGE-DENSE URBAN
105,RL_IBJCC,93.9919,OPEN LAND
106,RL_IBJLB,49.0257,DENSE TREE
107,RL_IBJQQ,112.962,DENSE TREE
108,RL_IBL?E,669.9654,OPEN LAND
109,RL_IBL?I,6.0111,LOW-MEDIUM URBAN
110,RL_IBL?M,1350.0013,OPEN LAND
111,RL_IBLCJ,37.0034,AVERAGE-DENSE URBAN
112,RL_IBLCP,129.0437,OPEN LAND
113,RL_IBLCV,9.9925,OPEN IN URBAN
114,RL_IBLGM,18.0333,INDUSTRIAL & COMMERCIAL
115,RL_IBLPD,150.0435,LOW-MEDIUM URBAN
116,RL_IBLPS,25.9961,DENSE TREE
117,RL_IBLXM,3.9814,OPEN IN URBAN
118,RL_IBM?O,60.033,LOW-DENSE URBAN
119,RL_IBMCS,17.0185,AVERAGE-DENSE URBAN
120,RL_IBMGQ,43.0146,OPEN IN URBAN
121,RL_IBMM@,8.9776,LOW-DENSE URBAN
122,RL_IBN??,7.026,HIGH-DENSE URBAN
123,RL_IBN?@,6.0111,LOW-DENSE URBAN
124,RL_IBN@E,4.9962,AVERAGE-DENSE URBAN
125,RL_IBNCI,1.0149,AVERAGE-DENSE URBAN
126,RL_IBNFO,50.0405,LOW-SPARSE URBAN
127,RL_IBNPF,4.9962,DENSE TREE
128,RL_IBNQK,82.9845,GREEN HOUSE
129,RL_IBO?E,30.0555,OPEN IN URBAN
130,RL_IBO@R,377.9973,GREEN HOUSE
131,RL_IBOA>,613.9918,OPEN LAND
132,RL_IBOI>,2.9665,AVERAGE-DENSE URBAN
133,RL_IBOIL,7.026,AVERAGE-MEDIUM URBAN
134,RL_IBOK>,11.0074,LOW-DENSE URBAN
135,RL_IBORL,16.0036,OPEN IN URBAN
136,RL_IBP@?,93.0551,DENSE TREE
137,RL_IBP@L,88.9956,AVERAGE-MEDIUM URBAN
138,RL_IBP@P,124.9842,DENSE TREE
139,RL_IBPF>,19.985,AVERAGE-DENSE URBAN
140,RL_IBPII,24.9812,OPEN IN URBAN
141,RL_IBPPJ,1027.9777,DENSE TREE
142,RL_IBPRO,1.0149,INDUSTRIAL & COMMERCIAL
143,RL_IBPTL,59.0182,LOW-MEDIUM URBAN
144,RL_IBQGK,4.9962,AVERAGE-DENSE URBAN
145,RL_IBQP@,71.9772,AVERAGE-MEDIUM URBAN
146,RL_IBQPH,1,OPEN IN URBAN
147,RL_IBQSO,64.0144,DENSE TREE
148,RL_IBQWV,6.0111,GREEN HOUSE
149,RL_IBT?J,1.0149,HIGH-DENSE URBAN
150,RL_IBT?O,8.0408,AVERAGE-DENSE URBAN
151,RL_IBTBB,11.0074,AVERAGE-MEDIUM URBAN
152,RL_IBTCH,19.985,AVERAGE-DENSE URBAN
153,RL_IBTGK,61.9847,LOW-DENSE URBAN
154,RL_IBTJV,502.9815,OPEN LAND
155,RL_IBTKL,296.0276,AVERAGE-DENSE URBAN
156,RL_IBTLQ,7.026,HIGH-DENSE URBAN
157,RL_IBTMW,4.9962,HIGH-DENSE URBAN
158,RL_IBTSD,25.9961,AVERAGE-DENSE URBAN
159,RL_IBTSK,2.0297,AVERAGE-DENSE URBAN
160,RL_IBU?V,90.0105,OPEN IN URBAN
161,RL_IBUMS,54.9587,GREEN HOUSE
162,RL_IBUPH,7.026,HIGH-DENSE URBAN
163,RL_IBVL>,22.0147,OPEN IN URBAN
164,RL_IBVRL,96.0216,AVERAGE-DENSE URBAN
165,RL_IBVXJ,681.9876,DENSE TREE
166,RL_IBWJI,2.9665,OPEN IN URBAN
167,RL_IBXRM,24.0444,OPEN IN URBAN
168,RL_IBZ?Q,9.9925,LOW-SPARSE URBAN
169,RL_IBZSJ,14.9887,INDUSTRIAL & COMMERCIAL
170,RL_ID2GJ,102.9695,INDUSTRIAL & COMMERCIAL
171,RL_IDBEQ,303.9904,INDUSTRIAL & COMMERCIAL
172,RL_IDBII,301.9606,INDUSTRIAL & COMMERCIAL
173,RL_IDBJV,30.9923,GREEN HOUSE
174,RL_IDBQ?,49.0257,INDUSTRIAL & COMMERCIAL
175,RL_IDC?I,301.9606,INDUSTRIAL & COMMERCIAL
176,RL_IDDGE,55.9736,INDUSTRIAL & COMMERCIAL
177,RL_IDDMI,22.0147,LOW-MEDIUM URBAN
178,RL_IDE?D,774.0278,OPEN LAND
179,RL_IDECJ,60.033,HIGH-ISOLATED-BUILDINGS
180,RL_IDECS,90.0105,LOW-DENSE URBAN
181,RL_IDEQJ,306.0201,LOW-MEDIUM URBAN
182,RL_IDFPD,61.9847,INDUSTRIAL & COMMERCIAL
183,RL_IDFPJ,33.9589,OPEN IN URBAN
184,RL_IDGCS,112.962,SPARSE TREE
185,RL_IDGMO,53.007,OPEN IN URBAN
186,RL_IDHCV,786.9868,BUILTUP-VILLAGE
187,RL_IDHL@,38.9551,AVERAGE-DENSE URBAN
188,RL_IDHM@,135.9916,LOW-DENSE URBAN
189,RL_IDHSO,11.0074,SPARSE TREE
190,RL_IDHSS,45.9811,AVERAGE-DENSE URBAN
191,RL_IDI?@,54.0219,GREEN HOUSE
192,RL_IDI?P,50.9773,VERYHIGH-SPARSE BLOCK BUILDINGS
193,RL_IDIPJ,1.0149,LOW-MEDIUM URBAN
194,RL_IDISK,62.9995,OPEN IN URBAN
195,RL_IDJRO,108.9806,OPEN LAND
196,RL_IDL?I,38.9551,LOW-DENSE URBAN
197,RL_IDL?K,96.9584,LOW-DENSE URBAN
198,RL_IDL?O,365.975,OPEN LAND
199,RL_IDLGO,297.9792,OPEN LAND
200,RL_IDLJQ,59.0182,LOW-DENSE URBAN
201,RL_IDLLI,95.0067,OPEN IN URBAN
202,RL_IDLN>,62.9995,OPEN IN URBAN
203,RL_IDLPQ,50.9773,AVERAGE-DENSE URBAN
204,RL_IDLSI,65.0293,AVERAGE-DENSE URBAN
205,RL_IDLSK,54.0219,AVERAGE-SPARSE URBAN
206,RL_IDLXV,88.9956,HIGH-DENSE URBAN
207,RL_IDN?@,71.0404,OPEN IN URBAN
208,RL_IDN?P,243.0205,HIGH-SPARSE URBAN
209,RL_IDN?W,179.0061,LOW-MEDIUM URBAN
210,RL_IDNBO,60.9698,GREEN HOUSE
211,RL_IDNCD,4.9962,LOW-MEDIUM URBAN
212,RL_IDNGQ,66.9809,AVERAGE-DENSE URBAN
213,RL_IDO?K,39.97,AVERAGE-DENSE URBAN
214,RL_IDQ?W,56.9884,LOW-DENSE URBAN
215,RL_IDQCO,9.9925,INDUSTRIAL & COMMERCIAL
216,RL_IDQGK,70.0255,GREEN HOUSE
217,RL_IDQPK,50.9773,INDUSTRIAL & COMMERCIAL
218,RL_IDTCA,60.033,AVERAGE-DENSE URBAN
219,RL_IDTCI,4.9962,AVERAGE-DENSE URBAN
220,RL_IDTCV,81.0329,LOW-DENSE URBAN
221,RL_IDTGQ,27.011,HIGH-DENSE URBAN
222,RL_IDTJC,6.0111,SPARSE TREE
223,RL_IDTMD,55.9736,HIGH-DENSE URBAN
224,RL_IDTSJ,75.0218,OPEN IN URBAN
225,RL_IDU1/,56.9884,AVERAGE-DENSE URBAN
226,RL_IDU?E,71.0404,LOW-DENSE URBAN
227,RL_IDU?H,67.9958,LOW-SPARSE URBAN
228,RL_IDU?Q,70.0255,LOW-DENSE URBAN
229,RL_IDU?V,88.9956,OPEN IN URBAN
230,RL_IDU@>,67.9958,GREEN HOUSE
231,RL_IDUAL,51.9922,GREEN HOUSE
232,RL_IDUCH,37.0034,OPEN IN URBAN
233,RL_IDUCO,106.0141,LOW-DENSE URBAN
234,RL_IDUDO,87.9808,OPEN IN URBAN
235,RL_IDUER,49.9625,OPEN IN URBAN
