,station_no,datetime,measured_date,measured_hour,temp,temp_max,temp_min,wind_dir,wind_speed,wind_dir_max,wind_speed_max,humidity,precipitation,precipitation_coeff,pressure,pressure_sea_level
0,WS_17037,2019-01-01 01:00:00,1.01.2019 00:00,4,5.6,5.8,5.6,11,2.3,205,6.2,76,0,60,1023.9,1027
1,WS_17038,2019-01-01 01:00:00,1.01.2019 00:00,4,7,,,11,3.6,,,67,,,1022.6,1023.9
2,WS_17227,2019-01-01 01:00:00,2019-01-01 00:00:00,4,,,,,,,,,,,,
3,WS_17232,2019-01-01 01:00:00,2019-01-01 00:00:00,4,8.7,9.2,8.5,7,7.9,103,14.5,66,0,60,1009.6,1012.6
4,WS_17233,2019-01-01 01:00:00,2019-01-01 00:00:00,4,11.4,11.8,11.4,0,8.3,,,78,0,60,1007.8,1013.1
5,WS_17234,2019-01-01 01:00:00,2019-01-01 00:00:00,4,6,6.6,5.7,5,2.6,103,6.9,86,0.3,60,1009,1015.9
6,WS_17300,2019-01-01 01:00:00,1.01.2019 00:00,4,6.8,,,14,4.1,,,91,,,1014,1014
7,WS_17302,2019-01-01 01:00:00,1.01.2019 00:00,4,7.2,7.2,7,1,1.5,329,4.8,99,3.7,60,1014.5,1020.3
8,WS_17304,2019-01-01 01:00:00,1.01.2019 00:00,4,7.1,7.4,7.1,16,2.1,295,3.8,100,,,,
9,WS_17310,2019-01-01 01:00:00,1.01.2019 00:00,4,14.5,14.5,13.3,4,2.2,53,5.5,38,0,60,1017,1017.7
10,WS_17375,2019-01-01 01:00:00,1.01.2019 00:00,4,9.6,9.8,9.3,16,2.1,320,3.9,88,0.5,60,1017.5,1017.7
11,WS_17380,2019-01-01 01:00:00,1.01.2019 00:00,4,9.6,9.8,9.4,9,5.9,212,9.2,77,0.6,60,998.2,1016.6
12,WS_17381,2019-01-01 01:00:00,2019-01-01 00:00:00,4,10.1,10.4,9.7,12,14.7,260,18,67,,,1010.5,1010.9
13,WS_17393,2019-01-01 01:00:00,1.01.2019 00:00,4,10.9,10.9,9.4,16,6.5,,,89,,,1018.1,1018.4
14,WS_17463,2019-01-01 01:00:00,1.01.2019 00:00,4,8.4,8.9,8.2,11,1.2,222,1.9,54,,,1012,1012.6
15,WS_17464,2019-01-01 01:00:00,1.01.2019 00:00,4,6.1,6.3,5.7,9,7,183,9,84,,,1013.5,1013.5
16,WS_17465,2019-01-01 01:00:00,1.01.2019 00:00,4,6.4,6.6,6.4,13,4.6,273,6.1,75,,,1013.1,1013.2
17,WS_17473,2019-01-01 01:00:00,1.01.2019 00:00,4,12.8,12.9,12.2,0,4.9,,,73,,,1016.2,1016.4
18,WS_17474,2019-01-01 01:00:00,1.01.2019 00:00,4,10.7,11,10.4,16,5.2,333,8.3,84,,,1017.2,1017.2
19,WS_17475,2019-01-01 01:00:00,1.01.2019 00:00,4,11.6,12.8,11.6,16,3,327,5.2,0,,,1018.7,1018.7
20,WS_17476,2019-01-01 01:00:00,1.01.2019 00:00,4,8.6,9.5,8.6,15,4.8,277,7.2,86,,,1018.7,1018.7
21,WS_17477,2019-01-01 01:00:00,1.01.2019 00:00,4,16.7,16.8,14.5,5,5.8,119,10.7,35,,,1017.5,1017.5
22,WS_17569,2019-01-01 01:00:00,1.01.2019 00:00,4,-3.8,-3,-3.8,5,1,66,2.8,,0,60,895.7,1028.1
23,WS_17626,2019-01-01 01:00:00,1.01.2019 00:00,4,4.5,4.5,4,12,2.1,240,4.4,71,0,60,1026.9,1027.2
24,WS_17714,2019-01-01 01:00:00,1.01.2019 00:00,4,-3.4,-3.3,-3.8,12,0.8,190,1.4,,0,60,906.8,1030.1
25,WS_17775,2019-01-01 01:00:00,1.01.2019 00:00,4,3.8,4.4,3.5,7,2.5,147,4.3,97,0,60,1027.1,1027.8
26,WS_17850,2019-01-01 01:00:00,2019-01-01 00:00:00,4,8.6,8.8,8.5,4,3.7,47,6.9,59,0,60,1007.2,1016
27,WS_17860,2019-01-01 01:00:00,2019-01-01 00:00:00,4,7.4,7.7,6.9,4,4,79,5.4,59,0,60,1006.4,1016.6
28,WS_17881,2019-01-01 01:00:00,2019-01-01 00:00:00,4,7.4,7.9,7.4,1,5.4,53,9.6,74,0,60,1012.7,1014.1
29,WS_17895,2019-01-01 01:00:00,1.01.2019 00:00,4,6,6.1,5.9,15,1.7,286,3.2,99,3,60,,
30,WS_17915,2019-01-01 01:00:00,1.01.2019 00:00,4,6.1,6.3,6.1,14,2.7,290,5.3,93,2.6,60,1017.6,1018.3
31,WS_17917,2019-01-01 01:00:00,1.01.2019 00:00,4,7.2,7.6,6.4,14,4.6,271,7.3,76,0.7,60,1011.8,1016.4
32,WS_17926,2019-01-01 01:00:00,1.01.2019 00:00,4,0.4,0.4,-0.1,0,0,316,1.1,89,0.2,60,901.3,1021.1
33,WS_17927,2019-01-01 01:00:00,1.01.2019 00:00,4,1.6,2.2,1.4,10,1.9,198,4.3,72,0,60,900.3,1021.6
34,WS_17951,2019-01-01 01:00:00,1.01.2019 00:00,4,8.1,8.3,7.9,1,3.4,31,6.4,98,0.2,60,,
35,WS_17952,2019-01-01 01:00:00,1.01.2019 00:00,4,1,1,0.2,7,0.7,127,1.4,99,0,60,889.5,1016.7
36,WS_17953,2019-01-01 01:00:00,1.01.2019 00:00,4,8.8,8.8,8.8,8,1.1,163,1.1,67,0,60,1019.1,1020.3
37,WS_17954,2019-01-01 01:00:00,1.01.2019 00:00,4,10.4,10.4,9,2,1.7,274,6,54,0.2,60,1013.5,1018.1
38,WS_17970,2019-01-01 01:00:00,1.01.2019 00:00,4,9.5,9.6,9.4,13,0.8,312,2.4,94,0.4,60,1017.5,1020.5
39,WS_17974,2019-01-01 01:00:00,1.01.2019 00:00,4,10.8,10.8,10.3,0,0,7,1.6,56,0,60,1015.9,1018.4
40,WS_18008,2019-01-01 01:00:00,1.01.2019 00:00,4,0.9,1,0.7,2,0.6,220,1,100,0,60,925.2,1019.3
41,WS_18009,2019-01-01 01:00:00,1.01.2019 00:00,4,8.5,8.7,8.4,1,0.9,11,4.1,100,0.2,60,1005.7,1014.3
42,WS_18010,2019-01-01 01:00:00,1.01.2019 00:00,4,6.8,6.8,6.6,14,0.4,119,1.6,100,0.8,60,990.5,1016.1
43,WS_18011,2019-01-01 01:00:00,1.01.2019 00:00,4,5.4,5.9,5.3,11,0.4,342,2.1,,0,60,1000.7,1018.2
44,WS_18012,2019-01-01 01:00:00,1.01.2019 00:00,4,5.4,5.9,4.6,3,3.3,232,7.1,72,0,60,915.5,1020.7
45,WS_18013,2019-01-01 01:00:00,1.01.2019 00:00,4,4.1,4.1,3.5,12,0,,,88,0,60,959.1,1020.8
46,WS_18014,2019-01-01 01:00:00,1.01.2019 00:00,4,5.2,5.5,5.1,15,0.6,264,3.5,,1.4,60,1009,1018.5
47,WS_18015,2019-01-01 01:00:00,1.01.2019 00:00,4,1.4,1.7,1.3,14,0,,,100,1.6,60,963,1022.8
48,WS_18016,2019-01-01 01:00:00,1.01.2019 00:00,4,5.3,5.5,5.3,16,1.9,322,4,100,1.6,60,986.2,1018.7
49,WS_18023,2019-01-01 01:00:00,2019-01-01 00:00:00,4,5.2,5.4,5.2,6,0.5,95,1.5,99,0,60,1008.2,1016.8
50,WS_18024,2019-01-01 01:00:00,2019-01-01 00:00:00,4,3,3.5,3,9,0.8,200,3,98,0,60,931.8,1016.3
51,WS_18025,2019-01-01 01:00:00,2019-01-01 00:00:00,4,3.6,3.6,3,14,0.4,320,1.8,80,0,60,947,1016.5
